面积,价格,格局,楼层,朝向,装修,年建,板楼塔楼,所在区域,电梯有无,房屋年限,交易权限,房型
97.18平米,460万,4室2厅,底层/共7层,南,复式/精装,2004年建,板楼,昌平  天通苑 五至六环,无,满五年,商品房,4室2厅1厨3卫
92.24平米,342万,2室1厅,底层/共8层,南 北,平层/精装,2013年建,板楼,大兴  枣园 五至六环,有,满两年,二类经济适用房,2室1厅1厨1卫
111.26平米,318万,2室1厅,顶层/共5层,东 南 北,平层/简装,2004年建,板楼,昌平  北七家 五至六环,无,满五年,私产,2室1厅1厨2卫
53.7平米,199万,2室1厅,高楼层/共6层,南 北,平层/简装,1993年建,板楼,丰台  丰台其它 五至六环,无,满五年,商品房,2室1厅1厨1卫
77.3平米,1065万,3室1厅,底层/共5层,南 北,平层/精装,1984年建,板楼,海淀  中关村 三至四环 近10号线知春里站,无,满五年,商品房,3室1厅1厨1卫
117.75平米,990万,2室1厅,低楼层/共25层,东,平层/精装,2000年建,塔楼,海淀  紫竹桥 三至四环,有,满五年,商品房,2室1厅1厨2卫
167.94平米,1050万,2室1厅,中楼层/共6层,东,平层/简装,2005年建,板楼,东城  和平里 二至三环 近2号线雍和宫站,有,满五年,商品房,2室1厅1厨2卫
135.27平米,630万,2室2厅,低楼层/共33层,东南,平层/精装,2001年建,塔楼,朝阳  华威桥 三至四环 近10号线十里河站,有,满五年,商品房,2室2厅1厨2卫
144.3平米,920万,3室2厅,中楼层/共7层,东 南 北,平层/精装,2004年建,板楼,朝阳  北苑 五至六环,有,满五年,商品房,3室2厅1厨2卫
65.78平米,425万,3室1厅,底层/共5层,南 北,平层/简装,1975年建,板楼,朝阳  团结湖 三至四环 近6号线呼家楼站,无,满五年,已购公房,3室1厅1厨1卫
71.9平米,995万,3室1厅,底层/共5层,南 北,平层/简装,1982年建,板楼,西城  德胜门 二至三环,无,满五年,已购公房,3室1厅1厨1卫
98.38平米,818万,3室1厅,中楼层/共17层,西南,平层/精装,2007年建,塔楼,海淀  世纪城 三至四环 近10号线长春桥站,有,满五年,商品房,3室1厅1厨1卫
123.71平米,378万,2室1厅,低楼层/共11层,南 北,复式/简装,2003年建,板塔结合,通州  乔庄 五至六环,有,满两年,商品房,2室1厅1厨2卫
74.76平米,340万,2室1厅,高楼层/共25层,西南,平层/其他,2013年建,暂无数据,大兴  西红门 六环外,有,满五年,商品房,2室1厅1厨1卫
66.06平米,230万,2室1厅,高楼层/共6层,南 北,平层/简装,1991年建,板楼,昌平  鼓楼大街 六环外,无,满两年,商品房,2室1厅1厨1卫
57.97平米,229万,1室1厅,顶层/共6层,南,平层/简装,2005年建,板楼,大兴  大兴其它 五至六环,无,满五年,商品房,1室1厅1厨1卫
61.88平米,228万,2室1厅,中楼层/共6层,东 南,平层/简装,1988年建,板楼,顺义  顺义城 六环外 近15号线顺义站,无,满五年,已购公房,2室1厅1厨1卫
94.74平米,268万,2室2厅,低楼层/共15层,南 北,平层/精装,2010年建,板塔结合,通州  马驹桥 六环外,有,满五年,商品房,2室2厅1厨1卫
31.25平米,268万,1室1厅,中楼层/共4层,南,平层/简装,1980年建,板楼,朝阳  和平里 二至三环 近5号线和平西桥站,无,满五年,商品房,1室1厅1厨1卫
67.47平米,329万,1室1厅,中楼层/共20层,东北,精装,2008年建,板塔结合,朝阳  国展 二至三环,有,满五年,商品房,1室1厅1厨1卫
94.84平米,315万,2室1厅,顶层/共12层,南 北,平层/简装,2005年建,板塔结合,亦庄开发区  马驹桥 五至六环,有,满五年,商品房,2室1厅1厨1卫
63.25平米,225万,2室1厅,低楼层/共6层,南 北,平层/简装,1998年建,板楼,大兴  西红门 四至五环,无,满五年,商品房,2室1厅1厨1卫
106.9平米,283万,3室1厅,高楼层/共6层,南 北,平层/简装,2003年建,板楼,房山  长阳 五至六环,无,满五年,商品房,3室1厅1厨1卫
113.96平米,538万,3室1厅,中楼层/共6层,南 北,平层/精装,2004年建,板楼,昌平  回龙观 五至六环,无,满两年,商品房,3室1厅1厨2卫
66.97平米,622万,2室1厅,底层/共6层,南 北,平层/精装,1995年建,板楼,海淀  苏州桥 三至四环 近10号线苏州街站,无,满两年,已购公房,2室1厅1厨1卫
92.64平米,315万,3室1厅,低楼层/共8层,南 北,平层/精装,2013年建,板楼,房山  长阳 五至六环,有,满五年,商品房,3室1厅1厨1卫
68.26平米,285万,2室1厅,高楼层/共28层,南 西,平层/精装,未知年建,塔楼,朝阳  常营 五至六环 近6号线草房站,有,满五年,商品房,2室1厅1厨1卫
92.43平米,330万,3室1厅,中楼层/共6层,南 西 北,平层/精装,1998年建,板楼,通州  通州北苑 五至六环,无,满五年,商品房,3室1厅1厨1卫
87.15平米,298万,2室2厅,中楼层/共11层,南 北,平层/精装,2010年建,板楼,房山  长阳 五至六环,有,满五年,商品房,2室2厅1厨1卫
61.44平米,480万,2室1厅,中楼层/共6层,南 北,平层/精装,1994年建,板楼,朝阳  农展馆 三至四环 近10号线农业展览馆站,无,满五年,央产房,2室1厅1厨1卫
127.59平米,1530万,3室1厅,低楼层/共25层,南 西 北,平层/精装,2011年建,板楼,朝阳  太阳宫 三至四环 近13号线芍药居站,有,满五年,商品房,3室1厅1厨2卫
69.29平米,288万,2室1厅,高楼层/共29层,东,平层/精装,2010年建,塔楼,朝阳  常营 五至六环 近6号线草房站,有,满五年,一类经济适用房,2室1厅1厨1卫
78.7平米,860万,3室1厅,中楼层/共6层,南 北,平层/精装,1989年建,板楼,海淀  牡丹园 三至四环 近10号线牡丹园站,无,满五年,已购公房,3室1厅1厨1卫
101.77平米,550万,3室1厅,中楼层/共11层,南 北,平层/精装,2005年建,板楼,朝阳  北苑 五至六环 近5号线立水桥南站,有,满五年,商品房,3室1厅1厨1卫
